transaction_key,transaction_id,customer_key,account_key,date_key,time_key,transaction_type,channel,merchant_category,merchant_country,transaction_amount,currency,cross_border_indicator,transaction_status,risky_session_indicator,new_device_indicator,velocity_score,synthetic_data_flag
789937711577542796,TXN-000000001,1101053381991883786,33534841193262571,20251022,7,Direct Debit,Branch,Electronics,IE,28.16,GBP,1,Approved,1,0,0.0,True
949935866480886741,TXN-000000002,1101053381991883786,33534841193262571,20250301,23,Cash Withdrawal,ATM,Utilities,CA,8.49,GBP,1,Approved,0,0,0.0,True
1002234328477013591,TXN-000000003,1101053381991883786,33534841193262571,20250613,2,Card Purchase,Mobile App,Money Transfer,NL,25.21,GBP,1,Approved,1,0,0.0,True
299713877219189441,TXN-000000004,1101053381991883786,33534841193262571,20251014,13,Direct Debit,Online Banking,Electronics,ZA,15.92,GBP,1,Approved,0,0,0.0,True
845772064807193943,TXN-000000005,1101053381991883786,33534841193262571,20251227,6,Card Purchase,POS,Travel,US,7.59,GBP,1,Approved,1,0,0.0,True
607652833258546857,TXN-000000006,1101053381991883786,33534841193262571,20250908,16,Direct Debit,POS,Cash Services,NL,15.64,GBP,1,Approved,0,0,0.0,True
74025026518616451,TXN-000000007,1101053381991883786,33534841193262571,20251228,9,Card Purchase,Online Banking,Money Transfer,NL,127.63,GBP,1,Approved,1,0,0.0,True
889119688707820292,TXN-000000008,1101053381991883786,33534841193262571,20250803,19,Direct Debit,Branch,Electronics,IE,4.6,GBP,1,Approved,1,0,0.0,True
629258398902064321,TXN-000000009,1101053381991883786,33534841193262571,20250819,19,Cash Withdrawal,Mobile App,Utilities,SG,12.14,GBP,1,Approved,0,0,0.0,True
558933789669173983,TXN-000000010,1101053381991883786,33534841193262571,20250801,22,Direct Debit,Online Banking,Travel,SG,27.62,GBP,1,Approved,1,0,0.0,True
267363189014956467,TXN-000000011,1101053381991883786,33534841193262571,20250911,17,Card Purchase,ATM,Money Transfer,ES,5.19,GBP,1,Approved,0,0,0.0,True
748016184666421655,TXN-000000012,1101053381991883786,33534841193262571,20250222,23,Bank Transfer,ATM,Grocery,BR,62.06,GBP,1,Approved,0,1,0.0,True
97931609952353885,TXN-000000013,1101053381991883786,33534841193262571,20251029,22,Direct Debit,Online Banking,Electronics,IE,50.38,GBP,1,Approved,1,0,0.0,True
861809946748357666,TXN-000000014,1101053381991883786,33534841193262571,20251003,5,Cash Withdrawal,ATM,Crypto Exchange,BR,8.46,GBP,1,Declined,0,0,0.0,True
543105104306438752,TXN-000000015,1101053381991883786,33534841193262571,20250508,4,Bank Transfer,Branch,Utilities,FR,55.77,GBP,1,Approved,0,0,0.0,True
298193625735841150,TXN-000000016,1101053381991883786,33534841193262571,20250217,12,Cash Withdrawal,ATM,Utilities,TR,20.73,GBP,1,Declined,1,1,0.0,True
1011695887631930106,TXN-000000017,1101053381991883786,33534841193262571,20251207,22,Card Purchase,POS,Cash Services,AE,119.56,GBP,1,Approved,1,0,0.0,True
20442685306065459,TXN-000000018,1101053381991883786,33534841193262571,20251008,18,Direct Debit,ATM,Grocery,DE,26.75,GBP,1,Approved,1,0,0.0,True
998442639602274692,TXN-000000019,1101053381991883786,33534841193262571,20250323,8,Cash Withdrawal,ATM,Travel,GB,39.36,GBP,0,Approved,1,1,0.0,True
769258077803445373,TXN-000000020,1101053381991883786,33534841193262571,20250430,13,Card Purchase,Mobile App,Entertainment,GB,20.99,GBP,0,Approved,0,1,0.0,True
1001146645433430853,TXN-000000021,606728138176973669,920606795177886553,20250805,22,Card Purchase,Online Banking,Cash Services,SG,169.82,USD,1,Approved,1,0,0.0,True
775173927113888503,TXN-000000022,606728138176973669,920606795177886553,20250310,20,Card Purchase,POS,Grocery,IE,1.84,USD,1,Approved,1,1,0.0,True
755114697342950845,TXN-000000023,606728138176973669,920606795177886553,20250730,19,Bank Transfer,Mobile App,Travel,CA,19.6,USD,1,Approved,1,0,0.0,True
985886050913612525,TXN-000000024,606728138176973669,920606795177886553,20250313,7,Card Purchase,Online Banking,Crypto Exchange,AE,49.82,USD,1,Approved,1,0,0.0,True
662473277873786660,TXN-000000025,606728138176973669,920606795177886553,20250407,23,Card Purchase,Online Banking,Utilities,TR,61.04,USD,1,Approved,1,0,0.0,True
590549657112720222,TXN-000000026,606728138176973669,920606795177886553,20250107,11,Bank Transfer,Branch,Cash Services,CA,34.99,USD,1,Approved,1,1,0.0,True
760301007837359113,TXN-000000027,606728138176973669,920606795177886553,20251028,2,Bank Transfer,Mobile App,Grocery,BR,0.53,USD,1,Declined,1,0,1.2434497875801754e-16,True
289137036857975362,TXN-000000028,606728138176973669,920606795177886553,20250805,22,Bank Transfer,ATM,Travel,SG,7.58,USD,1,Approved,0,1,1.685732064582525,True
856669811406882712,TXN-000000029,606728138176973669,920606795177886553,20251129,21,Cash Withdrawal,Branch,Entertainment,BR,11.27,USD,1,Approved,1,0,1.2434497875801754e-16,True
511978037902441510,TXN-000000030,606728138176973669,920606795177886553,20251208,23,Bank Transfer,Mobile App,Grocery,US,4.96,USD,0,Approved,1,0,1.2434497875801754e-16,True
603039061706816102,TXN-000000031,264419407905059310,591653940470532005,20250513,5,Cash Withdrawal,Mobile App,Grocery,FR,26.86,SGD,1,Approved,0,0,0.0,True
155965144533500593,TXN-000000032,264419407905059310,591653940470532005,20251118,2,Cash Withdrawal,Mobile App,Utilities,ES,28.66,SGD,1,Approved,1,0,0.0,True
984012386519646369,TXN-000000033,264419407905059310,591653940470532005,20250918,0,Card Purchase,Online Banking,Grocery,NL,216.06,SGD,1,Approved,0,0,0.0,True
533677670809310670,TXN-000000034,264419407905059310,591653940470532005,20250508,13,Cash Withdrawal,ATM,Travel,FR,78.76,SGD,1,Approved,1,0,1.187233480321638,True
391344003243171249,TXN-000000035,264419407905059310,591653940470532005,20250922,1,Direct Debit,ATM,Crypto Exchange,SG,37.11,SGD,0,Approved,0,0,0.0,True
397589068958819985,TXN-000000036,264419407905059310,591653940470532005,20251115,7,Direct Debit,Online Banking,Entertainment,GB,19.74,SGD,1,Approved,1,0,0.0,True
790818574539161890,TXN-000000037,264419407905059310,591653940470532005,20250105,10,Direct Debit,ATM,Travel,GB,13.45,SGD,1,Approved,1,1,0.0,True
1130505167871187621,TXN-000000038,264419407905059310,591653940470532005,20251231,8,Bank Transfer,POS,Cash Services,US,26.72,SGD,1,Approved,0,0,0.0,True
62896769234933151,TXN-000000039,264419407905059310,591653940470532005,20250502,9,Cash Withdrawal,Branch,Money Transfer,CA,33.31,SGD,1,Approved,0,1,0.0,True
316453399212787475,TXN-000000040,264419407905059310,591653940470532005,20251027,3,Bank Transfer,Branch,Utilities,DE,10.86,SGD,1,Approved,0,0,0.0,True
792375751041126910,TXN-000000041,264419407905059310,591653940470532005,20250826,8,Card Purchase,Online Banking,Crypto Exchange,SG,9.41,SGD,0,Approved,0,0,0.0,True
646618926745668385,TXN-000000042,264419407905059310,591653940470532005,20250508,11,Card Purchase,ATM,Crypto Exchange,DE,63.9,SGD,1,Approved,0,0,0.0,True
508407433324028314,TXN-000000043,264419407905059310,591653940470532005,20250222,4,Card Purchase,Online Banking,Electronics,GB,33.56,SGD,1,Approved,0,0,8.881784197001254e-18,True
1131231937422837593,TXN-000000044,264419407905059310,591653940470532005,20250208,0,Direct Debit,Online Banking,Travel,NL,4.83,SGD,1,Approved,1,0,0.7573418926019421,True
633583853720280634,TXN-000000045,264419407905059310,591653940470532005,20251021,13,Direct Debit,Branch,Grocery,IE,6.32,SGD,1,Approved,0,0,0.0,True
349132228541939072,TXN-000000046,264419407905059310,591653940470532005,20250817,4,Bank Transfer,ATM,Utilities,FR,1.76,SGD,1,Approved,1,0,0.0,True
922157374267181172,TXN-000000047,264419407905059310,591653940470532005,20251126,16,Card Purchase,Branch,Money Transfer,GB,8.62,SGD,1,Approved,1,0,0.0,True
1000711246512911037,TXN-000000048,264419407905059310,591653940470532005,20250403,0,Bank Transfer,Mobile App,Crypto Exchange,NL,112.47,SGD,1,Approved,1,0,0.0,True
937053200298043765,TXN-000000049,264419407905059310,591653940470532005,20250323,3,Bank Transfer,ATM,Grocery,SG,15.06,SGD,0,Approved,1,0,0.0,True
924818950246991806,TXN-000000050,264419407905059310,129325058848218403,20251224,11,Card Purchase,ATM,Electronics,NL,13.02,SGD,1,Approved,1,0,0.0,True
928601103406001412,TXN-000000051,264419407905059310,129325058848218403,20250909,1,Bank Transfer,POS,Entertainment,BR,98.43,SGD,1,Approved,0,0,0.0,True
992496424165450728,TXN-000000052,264419407905059310,129325058848218403,20250624,22,Cash Withdrawal,Mobile App,Grocery,GB,12.83,SGD,1,Approved,1,0,0.0,True
1089102797785450938,TXN-000000053,264419407905059310,129325058848218403,20250207,11,Direct Debit,POS,Travel,BR,6.63,SGD,1,Approved,0,1,0.0,True
574542673313439691,TXN-000000054,264419407905059310,129325058848218403,20250612,5,Cash Withdrawal,Online Banking,Electronics,FR,20.08,SGD,1,Approved,0,0,0.0,True
