transaction_key,customer_key,fraud_probability,prediction_outcome,source_feature,contribution_direction,contribution_value,contribution_rank,reason_code,explanation_status
789937711577542796,1101053381991883786,0.2886415601030551,false_positive,distinct_countries_customer_7d,negative,-0.4973097120946816,1,FRC_DISTINCT_COUNTRIES_CUSTOMER_7D_DOWN,passed
789937711577542796,1101053381991883786,0.2886415601030551,false_positive,merchant_category,negative,-0.4568879339218951,2,FRC_MERCHANT_CATEGORY_DOWN,passed
789937711577542796,1101053381991883786,0.2886415601030551,false_positive,distinct_merchants_customer_7d,positive,0.4029198505545392,3,FRC_DISTINCT_MERCHANTS_CUSTOMER_7D_UP,passed
789937711577542796,1101053381991883786,0.2886415601030551,false_positive,transaction_velocity_score,positive,0.3880769189231257,4,FRC_TRANSACTION_VELOCITY_SCORE_UP,passed
789937711577542796,1101053381991883786,0.2886415601030551,false_positive,channel,negative,-0.3737021046006329,5,FRC_CHANNEL_DOWN,passed
789937711577542796,1101053381991883786,0.2886415601030551,false_positive,currency,positive,0.344859453650397,8,FRC_CURRENCY_UP,passed
299713877219189441,1101053381991883786,0.2611114449278305,false_positive,merchant_country,negative,-0.5304473871499731,1,FRC_MERCHANT_COUNTRY_DOWN,passed
299713877219189441,1101053381991883786,0.2611114449278305,false_positive,high_risk_channel_flag,positive,0.4883711509354335,2,FRC_HIGH_RISK_CHANNEL_FLAG_UP,passed
299713877219189441,1101053381991883786,0.2611114449278305,false_positive,merchant_category,negative,-0.4568879339218951,3,FRC_MERCHANT_CATEGORY_DOWN,passed
299713877219189441,1101053381991883786,0.2611114449278305,false_positive,transaction_velocity_score,positive,0.3880769189231257,4,FRC_TRANSACTION_VELOCITY_SCORE_UP,passed
299713877219189441,1101053381991883786,0.2611114449278305,false_positive,ip_country,negative,-0.3707441997312041,5,FRC_IP_COUNTRY_DOWN,passed
299713877219189441,1101053381991883786,0.2611114449278305,false_positive,amount_vs_account_average,positive,0.3566869619473595,6,FRC_AMOUNT_VS_ACCOUNT_AVERAGE_UP,passed
845772064807193943,1101053381991883786,0.3158755343194784,false_positive,distinct_countries_customer_7d,negative,-0.4973097120946816,1,FRC_DISTINCT_COUNTRIES_CUSTOMER_7D_DOWN,passed
845772064807193943,1101053381991883786,0.3158755343194784,false_positive,amount_vs_account_average,positive,0.4889063665878289,2,FRC_AMOUNT_VS_ACCOUNT_AVERAGE_UP,passed
845772064807193943,1101053381991883786,0.3158755343194784,false_positive,channel,negative,-0.4826102070770899,3,FRC_CHANNEL_DOWN,passed
845772064807193943,1101053381991883786,0.3158755343194784,false_positive,is_weekend,positive,0.4407940424777875,4,FRC_IS_WEEKEND_UP,passed
845772064807193943,1101053381991883786,0.3158755343194784,false_positive,transaction_type,negative,-0.4082439674744825,5,FRC_TRANSACTION_TYPE_DOWN,passed
845772064807193943,1101053381991883786,0.3158755343194784,false_positive,distinct_merchants_customer_7d,positive,0.4029198505545392,6,FRC_DISTINCT_MERCHANTS_CUSTOMER_7D_UP,passed
74025026518616451,1101053381991883786,0.5408839305703406,false_positive,amount_vs_account_average,negative,-0.8103302593836262,1,FRC_AMOUNT_VS_ACCOUNT_AVERAGE_DOWN,passed
74025026518616451,1101053381991883786,0.5408839305703406,false_positive,amount_vs_customer_average,positive,0.6377783711583945,2,FRC_AMOUNT_VS_CUSTOMER_AVERAGE_UP,passed
74025026518616451,1101053381991883786,0.5408839305703406,false_positive,transaction_day_of_week,negative,-0.5068882979729548,3,FRC_TRANSACTION_DAY_OF_WEEK_DOWN,passed
74025026518616451,1101053381991883786,0.5408839305703406,false_positive,high_risk_channel_flag,positive,0.4883711509354335,4,FRC_HIGH_RISK_CHANNEL_FLAG_UP,passed
74025026518616451,1101053381991883786,0.5408839305703406,false_positive,is_weekend,positive,0.4407940424777875,5,FRC_IS_WEEKEND_UP,passed
74025026518616451,1101053381991883786,0.5408839305703406,false_positive,merchant_category,negative,-0.4141051462738278,6,FRC_MERCHANT_CATEGORY_DOWN,passed
97931609952353885,1101053381991883786,0.678999585131193,false_positive,distinct_countries_customer_7d,negative,-0.4973097120946816,1,FRC_DISTINCT_COUNTRIES_CUSTOMER_7D_DOWN,passed
97931609952353885,1101053381991883786,0.678999585131193,false_positive,high_risk_channel_flag,positive,0.4883711509354335,2,FRC_HIGH_RISK_CHANNEL_FLAG_UP,passed
97931609952353885,1101053381991883786,0.678999585131193,false_positive,merchant_category,negative,-0.4568879339218951,3,FRC_MERCHANT_CATEGORY_DOWN,passed
97931609952353885,1101053381991883786,0.678999585131193,false_positive,distinct_merchants_customer_7d,positive,0.4029198505545392,4,FRC_DISTINCT_MERCHANTS_CUSTOMER_7D_UP,passed
97931609952353885,1101053381991883786,0.678999585131193,false_positive,transaction_velocity_score,positive,0.3880769189231257,5,FRC_TRANSACTION_VELOCITY_SCORE_UP,passed
97931609952353885,1101053381991883786,0.678999585131193,false_positive,ip_country,negative,-0.3707441997312041,6,FRC_IP_COUNTRY_DOWN,passed
1011695887631930106,1101053381991883786,0.5165950906579041,false_positive,amount_vs_account_average,negative,-0.9308628132186604,1,FRC_AMOUNT_VS_ACCOUNT_AVERAGE_DOWN,passed
1011695887631930106,1101053381991883786,0.5165950906579041,false_positive,amount_vs_customer_average,positive,0.7212994458262344,2,FRC_AMOUNT_VS_CUSTOMER_AVERAGE_UP,passed
1011695887631930106,1101053381991883786,0.5165950906579041,false_positive,transaction_day_of_week,negative,-0.5068882979729548,3,FRC_TRANSACTION_DAY_OF_WEEK_DOWN,passed
1011695887631930106,1101053381991883786,0.5165950906579041,false_positive,distinct_countries_customer_7d,negative,-0.4973097120946816,4,FRC_DISTINCT_COUNTRIES_CUSTOMER_7D_DOWN,passed
1011695887631930106,1101053381991883786,0.5165950906579041,false_positive,is_weekend,positive,0.4407940424777875,6,FRC_IS_WEEKEND_UP,passed
1011695887631930106,1101053381991883786,0.5165950906579041,false_positive,merchant_category,positive,0.4320538404536375,7,FRC_MERCHANT_CATEGORY_UP,passed
760301007837359113,606728138176973669,0.8454437127329656,false_positive,merchant_country,positive,0.7802645067226328,1,FRC_MERCHANT_COUNTRY_UP,passed
760301007837359113,606728138176973669,0.8454437127329656,false_positive,log_transaction_amount,negative,-0.63344536981575,2,FRC_LOG_TRANSACTION_AMOUNT_DOWN,passed
760301007837359113,606728138176973669,0.8454437127329656,false_positive,amount_vs_account_average,positive,0.5642232795780812,3,FRC_AMOUNT_VS_ACCOUNT_AVERAGE_UP,passed
760301007837359113,606728138176973669,0.8454437127329656,false_positive,distinct_countries_customer_7d,negative,-0.4973097120946816,4,FRC_DISTINCT_COUNTRIES_CUSTOMER_7D_DOWN,passed
760301007837359113,606728138176973669,0.8454437127329656,false_positive,currency,positive,0.4738219263724476,5,FRC_CURRENCY_UP,passed
760301007837359113,606728138176973669,0.8454437127329656,false_positive,high_risk_channel_flag,negative,-0.3583952068282079,10,FRC_HIGH_RISK_CHANNEL_FLAG_DOWN,passed
856669811406882712,606728138176973669,0.7719390162252837,false_positive,merchant_country,positive,0.7802645067226328,1,FRC_MERCHANT_COUNTRY_UP,passed
856669811406882712,606728138176973669,0.7719390162252837,false_positive,distinct_countries_customer_7d,negative,-0.4973097120946816,2,FRC_DISTINCT_COUNTRIES_CUSTOMER_7D_DOWN,passed
856669811406882712,606728138176973669,0.7719390162252837,false_positive,amount_vs_account_average,positive,0.4853079042524077,3,FRC_AMOUNT_VS_ACCOUNT_AVERAGE_UP,passed
856669811406882712,606728138176973669,0.7719390162252837,false_positive,currency,positive,0.4738219263724476,4,FRC_CURRENCY_UP,passed
856669811406882712,606728138176973669,0.7719390162252837,false_positive,channel,negative,-0.3737021046006329,9,FRC_CHANNEL_DOWN,passed
